name,type,region,locality,geolocation
памятник ЛН толстый,"Памятники, скульптуры, мемориалы",Тульская область,Тула,"(Decimal('37.617348'), Decimal('54.193122'))"
Памятник Ларисе Попугаевой,"Памятники, скульптуры, мемориалы",Республика Саха (Якутия),Успешный,"(Decimal('112.252283'), Decimal('66.413649'))"
Памятник Ле Корбюзье,"Памятники, скульптуры, мемориалы",Москва,,"(Decimal('37.617635'), Decimal('55.755814'))"
памятник Левше,"Памятники, скульптуры, мемориалы",Тульская область,Тула,"(Decimal('37.617348'), Decimal('54.193122'))"
Памятник ленинградским детям,военная слава,Ленинградская область,,"(Decimal('29.706298'), Decimal('61.162446'))"
памятник Ленину,"Памятники, скульптуры, мемориалы",Приморский край,Партизанск,"(Decimal('133.123246'), Decimal('43.119813'))"
памятник Ленину,"Памятники, скульптуры, мемориалы",Республика Хакасия,Абакан,"(Decimal('89.711307'), Decimal('54.638632'))"
Памятник Леониду Гайдаю,"Памятники, скульптуры, мемориалы",Иркутская область,Иркутск,"(Decimal('104.281047'), Decimal('52.287054'))"
памятник Лермонтову,"Памятники, скульптуры, мемориалы",Тамбовская область,Тамбов,"(Decimal('41.832692'), Decimal('52.435401'))"
памятник Ломоносову,"Памятники, скульптуры, мемориалы",Санкт-Петербург,Санкт-Петербург,"(Decimal('30.315868'), Decimal('59.939095'))"
памятник Лосу,"Памятники, скульптуры, мемориалы",Удмуртская республика,Ижевск,"(Decimal('53.206891'), Decimal('56.852676'))"
памятник Любочке,"Памятники, скульптуры, мемориалы",Омская область,Омск,"(Decimal('73.368212'), Decimal('54.989342'))"
Памятник Людвигу Нобелю,"Памятники, скульптуры, мемориалы",Ярославская область,,Not found
Памятник Михаилу Шолохову,"Памятники, скульптуры, мемориалы",Москва,,"(Decimal('37.4114'), Decimal('55.844394'))"
Памятник Михаилу Шолохову,"Памятники, скульптуры, мемориалы",Ростовская область,Ростов-на-Дону,"(Decimal('39.720349'), Decimal('47.222078'))"
Памятник Михаилу Ломоносову,"Памятники, скульптуры, мемориалы",Удмуртская республика,Ижевск,"(Decimal('53.222926'), Decimal('56.84932'))"
Памятник Михаилу Ломоносову,"Памятники, скульптуры, мемориалы",Москва,,"(Decimal('37.4114'), Decimal('55.844394'))"
Памятник Михаилу Ломоносову на Моссе,"Памятники, скульптуры, мемориалы",Москва,,Not found
Памятник Михаилу Глинке,"Памятники, скульптуры, мемориалы",Новосибирская область,Новосибирск,"(Decimal('82.965821'), Decimal('55.049689'))"
Памятник М.И. Платову,"Памятники, скульптуры, мемориалы",Ростовская область,Новочеркасск,"(Decimal('40.093725'), Decimal('47.422052'))"
Памятник Михаилу Бахтину,"Памятники, скульптуры, мемориалы",Республика Мордовия,Саранск,"(Decimal('45.183938'), Decimal('54.187433'))"
Памятник М.Н. Ефимову,"Памятники, скульптуры, мемориалы",Ленинградская область,,"(Decimal('29.706298'), Decimal('61.162446'))"
Памятник Михаилу Калашникову,"Памятники, скульптуры, мемориалы",Удмуртская республика,Ижевск,"(Decimal('53.206891'), Decimal('56.852676'))"
Памятник Михаилу Лермонтову,"Памятники, скульптуры, мемориалы",Москва,,"(Decimal('37.4114'), Decimal('55.844394'))"
Памятник М.В. Ломоносову,"Памятники, скульптуры, мемориалы",Архангельская область,Университет,"(Decimal('41.732261'), Decimal('64.229093'))"
Памятник М.В. Ломоносову,"Памятники, скульптуры, мемориалы",Краснодарский край,Краснодар,"(Decimal('38.975313'), Decimal('45.03547'))"
Памятник М.Е. Пятницкому,"Памятники, скульптуры, мемориалы",Воронежская область,Воронеж,"(Decimal('39.216502'), Decimal('51.730986'))"
Памятник Салтыкову-Щедрину,"Памятники, скульптуры, мемориалы",Ленинградская область,Лебяжье,"(Decimal('29.417256'), Decimal('59.958444'))"
Памятник М.И. Глинке,"Памятники, скульптуры, мемориалы",Смоленская область,Смоленск,"(Decimal('32.045251'), Decimal('54.782635'))"
Памятник М.И. Калинину,"Памятники, скульптуры, мемориалы",Калининградская область,,Not found
Памятник М.И. Кутузову,"Памятники, скульптуры, мемориалы",Калининградская область,Калининград,"(Decimal('20.512733'), Decimal('54.710454'))"
Памятник М.И. Кутузову,"Памятники, скульптуры, мемориалы",Москва,,"(Decimal('37.4114'), Decimal('55.844394'))"
Памятник М.И. Кутузову,"Памятники, скульптуры, мемориалы",Смоленская область,Смоленск,"(Decimal('32.045251'), Decimal('54.782635'))"
Памятник М.И. Кутузову возле села Царево-Займище.,"Памятники, скульптуры, мемориалы",Смоленская область,Царево-Займище,Not found
Памятник М.И.Цветаевой в Тарусе,"Памятники, скульптуры, мемориалы",Калужская область,Таруса,"(Decimal('37.165522'), Decimal('54.715613'))"
Памятник М.О. Микешину,"Памятники, скульптуры, мемориалы",Смоленская область,Смоленск,"(Decimal('32.045251'), Decimal('54.782635'))"
Памятник М.Ю. Лермонтову,"Памятники, скульптуры, мемориалы",Республика Северная Осетия - Алания,Владикавказ,"(Decimal('44.68196'), Decimal('43.02115'))"
Памятник Магомеду Гаджиеву,"Памятники, скульптуры, мемориалы",Республика Дагестан,Махачкала,"(Decimal('47.504682'), Decimal('42.98306'))"
Памятник Максиму Горькому,"Памятники, скульптуры, мемориалы",Нижегородская область,Нижний Новгород,"(Decimal('43.765543'), Decimal('56.235496'))"
Памятник Максиму Горькому на набережной.,"Памятники, скульптуры, мемориалы",Нижегородская область,Нижний Новгород,"(Decimal('43.826925'), Decimal('56.203623'))"
памятник моряку,"Памятники, скульптуры, мемориалы",Приморский край,Владивосток,"(Decimal('131.885485'), Decimal('43.115536'))"
памятник Маугли,"Памятники, скульптуры, мемориалы",Ленинградская область,Приозерск,"(Decimal('30.119838'), Decimal('61.036554'))"
Памятник Махачу Дахадаеву,"Памятники, скульптуры, мемориалы",Республика Дагестан,Махачкала,"(Decimal('47.504682'), Decimal('42.98306'))"
Памятник МиГ-29,"Памятники, скульптуры, мемориалы",Воронежская область,Воронеж,"(Decimal('39.216502'), Decimal('51.730986'))"
Памятник Минину и Пожарскому,"Памятники, скульптуры, мемориалы",Нижегородская область,Нижний Новгород,"(Decimal('43.765543'), Decimal('56.235496'))"
Памятник Михаилу Булгакову,"Памятники, скульптуры, мемориалы",Республика Северная Осетия - Алания,Владикавказ,"(Decimal('44.68196'), Decimal('43.02115'))"
Памятник Майклу Паникахи,"Памятники, скульптуры, мемориалы",Волгоградская область,,Not found
Памятник Михаилу Сперанскому,"Памятники, скульптуры, мемориалы",Иркутская область,Иркутск,"(Decimal('104.281047'), Decimal('52.287054'))"
Памятник Михаилу Ульянову в Таре,"Памятники, скульптуры, мемориалы",Омская область,Контейнер,Not found
Памятник Михаилу Шумилову,"Памятники, скульптуры, мемориалы",Волгоградская область,Волгоград,"(Decimal('44.516948'), Decimal('48.707067'))"
Памятник Михаилу Лермонтову,"Памятники, скульптуры, мемориалы",Краснодарский край,Геленджик,Not found
Памятник Михаилу Янковскому,"Памятники, скульптуры, мемориалы",Приморский край,Безверхово,"(Decimal('131.491879'), Decimal('42.963772'))"
Памятник Михаилу Ярославичу Тверскому,"Памятники, скульптуры, мемориалы",Тверская область,Тверь,Not found
Памятник ему-его,"Памятники, скульптуры, мемориалы",Санкт-Петербург,Санкт-Петербург,"(Decimal('30.315868'), Decimal('59.939095'))"
памятник Музе,"Памятники, скульптуры, мемориалы",Томская область,Томск,"(Decimal('84.947649'), Decimal('56.48464'))"
Осмотр достопримечательностей Саске Вахитову,"Памятники, скульптуры, мемориалы",Республика Татарстан,Казань,"(Decimal('49.108795'), Decimal('55.796289'))"
Памятник Муравьеву-Амуру,"Памятники, скульптуры, мемориалы",Приморский край,Владивосток,"(Decimal('131.885485'), Decimal('43.115536'))"
Памятник Н. Аргентовской,"Памятники, скульптуры, мемориалы",Курганская область,Курган,"(Decimal('65.341118'), Decimal('55.441004'))"
Памятник Николаю Гоголю,"Памятники, скульптуры, мемориалы",Москва,,"(Decimal('37.4114'), Decimal('55.844394'))"
Памятник Н.В. Гоголю на Хохолевском бульваре,"Памятники, скульптуры, мемориалы",Москва,,"(Decimal('37.617635'), Decimal('55.755814'))"
Памятник Н.П.Огарева,"Памятники, скульптуры, мемориалы",Республика Мордовия,Саранск,"(Decimal('45.183938'), Decimal('54.187433'))"
Памятник Н.Ф. Катанову,"Памятники, скульптуры, мемориалы",Республика Хакасия,Абакан,"(Decimal('89.711307'), Decimal('54.638632'))"
Памятник Н.А. Бугрову,"Памятники, скульптуры, мемориалы",Нижегородская область,Нижний Новгород,"(Decimal('43.765543'), Decimal('56.235496'))"
Памятник Н.В. Крыленко,"Памятники, скульптуры, мемориалы",Смоленская область,Смоленск,"(Decimal('32.301522'), Decimal('53.864071'))"
Памятник Н.Н. Демидову в Чирковицах,"Памятники, скульптуры, мемориалы",Ленинградская область,,"(Decimal('29.706298'), Decimal('61.162446'))"
Памятник НН Жукову в Ельце,"Памятники, скульптуры, мемориалы",Липецкая область,Елец,Not found
Памятник НН Муравьеву-Амурскому,"Памятники, скульптуры, мемориалы",Амурская область,Благовещенск,"(Decimal('127.527173'), Decimal('50.29064'))"
Памятник Н.Э. Бауману,"Памятники, скульптуры, мемориалы",Москва,,"(Decimal('37.4114'), Decimal('55.844394'))"
Памятник Нептуну,"Памятники, скульптуры, мемориалы",Приморский край,Владивосток,"(Decimal('131.885485'), Decimal('43.115536'))"
Памятник Никите Демидову,"Памятники, скульптуры, мемориалы",Тульская область,Тула,"(Decimal('37.617348'), Decimal('54.193122'))"
Памятник Никиткову-летуну,"Памятники, скульптуры, мемориалы",Пермь,Кунгур,"(Decimal('56.944206'), Decimal('57.42881'))"
Памятник Николаю I,"Памятники, скульптуры, мемориалы",Санкт-Петербург,Санкт-Петербург,"(Decimal('30.315868'), Decimal('59.939095'))"
Памятник Николаю Некрасову,"Памятники, скульптуры, мемориалы",Ярославская область,Ярославль,"(Decimal('39.87662'), Decimal('57.658939'))"
Памятник Николаю Муравьеву-Амурскому,"Памятники, скульптуры, мемориалы",Забайкальский край,Чита,"(Decimal('117.858184'), Decimal('50.050363'))"
Памятник Николаю Рубцову,"Памятники, скульптуры, мемориалы",Вологодская область,Вологда,"(Decimal('39.891523'), Decimal('59.220496'))"
Памятник Николаю Рубцову,"Памятники, скульптуры, мемориалы",Вологодская область,Тотьма,"(Decimal('42.758873'), Decimal('59.973487'))"
Памятник Николаю Рудневу,"Памятники, скульптуры, мемориалы",Волгоградская область,Волгоград,"(Decimal('44.516948'), Decimal('48.707067'))"
Памятник Николаю Тарскому,"Памятники, скульптуры, мемориалы",Республика Саха (Якутия),Якутск,"(Decimal('129.664885'), Decimal('62.031436'))"
Памятник Святителю Николаю,"Памятники, скульптуры, мемориалы",Пермь,Пермский,"(Decimal('56.229434'), Decimal('58.01045'))"
Памятник Святителю Николаю,"Памятники, скульптуры, мемориалы",Республика Адыгея,Майкоп,"(Decimal('40.098548'), Decimal('44.608865'))"
Памятник О.И.Городовиковой,"Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
Памятник О.Э. Мандельштаму,"Памятники, скульптуры, мемориалы",Воронежская область,Воронеж,"(Decimal('39.216502'), Decimal('51.730986'))"
Памятник Олегу Рязанскому,"Памятники, скульптуры, мемориалы",Рязанская область,Рязань,"(Decimal('39.736375'), Decimal('54.629216'))"
Памятник Ольге Берггольц,"Памятники, скульптуры, мемориалы",Санкт-Петербург,Санкт-Петербург,"(Decimal('30.417423'), Decimal('59.892252'))"
Памятник Осипу Мандельштаму,"Памятники, скульптуры, мемориалы",Приморский край,Владивосток,"(Decimal('131.885485'), Decimal('43.115536'))"
Памятник Осипу Мандельштаму,"Памятники, скульптуры, мемориалы",Воронежская область,Воронеж,"(Decimal('39.216502'), Decimal('51.730986'))"
Памятник Остапу Бендеру,"Памятники, скульптуры, мемориалы",Санкт-Петербург,Санкт-Петербург,"(Decimal('30.315868'), Decimal('59.939095'))"
Памятник П.И.Чайковскому,"Памятники, скульптуры, мемориалы",Пермь,Чайковский,"(Decimal('54.147759'), Decimal('56.778061'))"
Памятник Павлу Третьякову,"Памятники, скульптуры, мемориалы",Москва,,Not found
Памятник ПА Соловьеву,"Памятники, скульптуры, мемориалы",Ярославская область,Рыбинск,"(Decimal('38.858406'), Decimal('58.048454'))"
Памятник П.И.Чайковскому,"Памятники, скульптуры, мемориалы",Москва,,"(Decimal('37.4114'), Decimal('55.844394'))"
памятник П.И.Батову,"Памятники, скульптуры, мемориалы",Ярославская область,Рыбинск,"(Decimal('38.858406'), Decimal('58.048454'))"
Памятник П.Н.Нестерову,"Памятники, скульптуры, мемориалы",Нижегородская область,Нижний Новгород,"(Decimal('43.765543'), Decimal('56.235496'))"
Памятник Павлу Петровичу Калитину,"Памятники, скульптуры, мемориалы",Новгородская область,Холм,Not found
Памятник Парижской Коммуне (борцам революции),"Памятники, скульптуры, мемориалы",Омская область,Омск,"(Decimal('73.368212'), Decimal('54.989342'))"
Памятник Патриарху Алексию II,"Памятники, скульптуры, мемориалы",Республика Марий Эл,Йошкар-Ола,Not found
памятник Пионерам,"Памятники, скульптуры, мемориалы",Иркутская область,Иркутск,"(Decimal('104.281047'), Decimal('52.287054'))"
Памятник Петру I,"Памятники, скульптуры, мемориалы",Нижегородская область,Нижний Новгород,"(Decimal('43.765543'), Decimal('56.235496'))"
Памятник Петру I,"Памятники, скульптуры, мемориалы",Ленинградская область,,"(Decimal('29.706298'), Decimal('61.162446'))"
Памятник Петру I,"Памятники, скульптуры, мемориалы",Ленинградская область,Выборг,"(Decimal('28.749404'), Decimal('60.710232'))"
Памятник Петру I,"Памятники, скульптуры, мемориалы",Ленинградская область,Шлиссельбург,"(Decimal('31.026597'), Decimal('59.934943'))"
Памятник Петру I,"Памятники, скульптуры, мемориалы",Ленинградская область,Приозерск,"(Decimal('30.119838'), Decimal('61.036554'))"
Памятник Петру I,"Памятники, скульптуры, мемориалы",Калининградская область,Калининград,"(Decimal('20.512733'), Decimal('54.710454'))"
Памятник Петру I,"Памятники, скульптуры, мемориалы",Архангельская область,Архангельск,"(Decimal('40.515753'), Decimal('64.539911'))"
Памятник Петру I,"Памятники, скульптуры, мемориалы",Республика Дагестан,Махачкала,"(Decimal('47.504682'), Decimal('42.98306'))"
Памятник Петру I,"Памятники, скульптуры, мемориалы",Алтайский край,Бийск,"(Decimal('85.21382'), Decimal('52.539297'))"
Памятник Петру I,"Памятники, скульптуры, мемориалы",Воронежская область,Воронеж,"(Decimal('39.216502'), Decimal('51.730986'))"
Памятник Петру I,"Памятники, скульптуры, мемориалы",Тульская область,Тула,"(Decimal('37.617348'), Decimal('54.193122'))"
Памятник Петру I,"Памятники, скульптуры, мемориалы",Ростовская область,Таганрог,"(Decimal('38.914713'), Decimal('47.22064'))"
Памятник Петру I,"Памятники, скульптуры, мемориалы",Астраханская область,Астрахань,"(Decimal('48.033574'), Decimal('46.347869'))"
Памятник Петру I,"Памятники, скульптуры, мемориалы",Волгоградская область,Алексеевская,"(Decimal('42.185847'), Decimal('50.294295'))"
Памятник Петру I Великому,"Памятники, скульптуры, мемориалы",Калининградская область,Балтийск,Not found
Памятник Петру I и Никите Демидову,"Памятники, скульптуры, мемориалы",Свердловская область,Невьянск,Not found
Памятник Петру Фильм,военная слава,Республика Северная Осетия - Алания,Хюзел,"(Decimal('44.569859'), Decimal('43.042212'))"
Памятник Петру Великому,"Памятники, скульптуры, мемориалы",Смоленская область,Гагарин,"(Decimal('34.996845'), Decimal('55.553299'))"
Памятник Петру Симону Палласу,"Памятники, скульптуры, мемориалы",Волгоградская область,Палласовка,Not found
Памятник Петру и Февронии,"Памятники, скульптуры, мемориалы",Приморский край,Владивосток,Not found
Памятник Петру и Февронии,"Памятники, скульптуры, мемориалы",Кировская область,Киров,"(Decimal('49.721706'), Decimal('58.605133'))"
Памятник Петру и Февронии,"Памятники, скульптуры, мемориалы",Нижегородская область,Нижний Новгород,"(Decimal('43.765543'), Decimal('56.235496'))"
Памятник Петру и Февронии,"Памятники, скульптуры, мемориалы",Новосибирская область,Новосибирск,Not found
Памятник Петру и Февронии,"Памятники, скульптуры, мемориалы",Свердловская область,Екатеринбург,Not found
Памятник Петру и Февронии,"Памятники, скульптуры, мемориалы",Курская область,Курск,Not found
Памятник Петру и Февронии Муромский,"Памятники, скульптуры, мемориалы",Иркутская область,Иркутск,Not found
Памятник Петру и Февронии Муромский,"Памятники, скульптуры, мемориалы",Краснодарский край,Краснодар,Not found
Памятник Петру и Февронии Муромский,"Памятники, скульптуры, мемориалы",Ростовская область,Ростов-на-Дону,Not found
Памятник Петру и Февронии в Бийске,"Памятники, скульптуры, мемориалы",Алтайский край,Бийск,"(Decimal('85.21382'), Decimal('52.539297'))"
Памятник покорителям Севера,"Памятники, скульптуры, мемориалы",Ямало-Ненецкий автономный округ,Надым,"(Decimal('72.531341'), Decimal('65.535924'))"
Памятник Пушкину,"Памятники, скульптуры, мемориалы",Санкт-Петербург,Санкт-Петербург,"(Decimal('30.315868'), Decimal('59.939095'))"
Памятник Потру I и Францу Лефорту,"Памятники, скульптуры, мемориалы",Москва,,Not found
Памятник Расулу Гамзатову,"Памятники, скульптуры, мемориалы",Республика Дагестан,Махачкала,"(Decimal('47.504682'), Decimal('42.98306'))"
Памятник Рембрандту ван Рейну,"Памятники, скульптуры, мемориалы",Республика Марий Эл,Йошкар-Ола,Not found
Памятник Рите на Мамаевом кургане,"Памятники, скульптуры, мемориалы",Волгоградская область,Волгоград,Not found
Памятник Рихарду Зорге,"Памятники, скульптуры, мемориалы",Удмуртская республика,Ижевск,"(Decimal('53.206891'), Decimal('56.852676'))"
Памятник Ростиславу Алексееву,"Памятники, скульптуры, мемориалы",Нижегородская область,Нижний Новгород,"(Decimal('43.765543'), Decimal('56.235496'))"
Памятник учителю русского языка,"Памятники, скульптуры, мемориалы",Республика Дагестан,Махачкала,"(Decimal('47.504682'), Decimal('42.98306'))"
Памятник Рахманинову,"Памятники, скульптуры, мемориалы",Новгородская область,Новгород,"(Decimal('31.269915'), Decimal('58.52281'))"
Памятник Кирову,"Памятники, скульптуры, мемориалы",Псковская область,Псков,"(Decimal('28.332451'), Decimal('57.819274'))"
Памятник Кирову,"Памятники, скульптуры, мемориалы",Волгоградская область,Волгоград,"(Decimal('44.516948'), Decimal('48.707067'))"
Памятник СВ Рахманинову,"Памятники, скульптуры, мемориалы",Тамбовская область,Тамбов,"(Decimal('41.832692'), Decimal('52.435401'))"
памятник С.Г.Чавайну,"Памятники, скульптуры, мемориалы",Республика Марий Эл,Йошкар-Ола,"(Decimal('47.886178'), Decimal('56.631595'))"
Памятник С.И. Мосину,"Памятники, скульптуры, мемориалы",Тульская область,Тула,"(Decimal('37.617348'), Decimal('54.193122'))"
Памятник СМ Киров,"Памятники, скульптуры, мемориалы",Мурманская область,Мурманск,"(Decimal('33.074981'), Decimal('68.970682'))"
Памятник СМ Кирову на Октябрьском проспекте,"Памятники, скульптуры, мемориалы",Кировская область,Киров,Not found
Памятник СМ на площади Кирова на Лепсе,"Памятники, скульптуры, мемориалы",Кировская область,Киров,"(Decimal('49.629988'), Decimal('58.616144'))"
Памятник СН Сергееву-Ценскому,"Памятники, скульптуры, мемориалы",Тамбовская область,Тамбов,"(Decimal('41.832692'), Decimal('52.435401'))"
Памятник Салчак Тока,"Памятники, скульптуры, мемориалы",Республика Тыва,красный,"(Decimal('94.287756'), Decimal('51.659803'))"
Памятник Самуилу Маршаку,"Памятники, скульптуры, мемориалы",Воронежская область,Воронеж,"(Decimal('39.216502'), Decimal('51.730986'))"
памятник Сахарову,"Памятники, скульптуры, мемориалы",Санкт-Петербург,Санкт-Петербург,"(Decimal('30.315868'), Decimal('59.939095'))"
Памятник Саше Филиппову,"Памятники, скульптуры, мемориалы",Волгоградская область,Волгоград,"(Decimal('44.516948'), Decimal('48.707067'))"
"Памятник Святителю Николаю Чудотворцу, архиепископу Мирликийскому","Памятники, скульптуры, мемориалы",Камчатский край,Петропавловск-Камчатский,"(Decimal('158.643566'), Decimal('53.024075'))"
Памятник Святителю Николаю Чудотворцу,"Памятники, скульптуры, мемориалы",Омская область,Асаир,Not found
Памятник Святой Екатерине,"Памятники, скульптуры, мемориалы",Краснодарский край,Краснодар,"(Decimal('38.968396'), Decimal('45.015416'))"
Памятник Святым Петру и Февронии,"Памятники, скульптуры, мемориалы",Тамбовская область,Тамбов,"(Decimal('41.832692'), Decimal('52.435401'))"
Памятник Святым Петру и Февронии,"Памятники, скульптуры, мемориалы",Архангельская область,Архангельск,"(Decimal('40.515753'), Decimal('64.539911'))"
Памятник Сене Малина,"Памятники, скульптуры, мемориалы",Архангельская область,Архангельск,"(Decimal('40.515753'), Decimal('64.539911'))"
Памятник Сергею Королеву и Юрию Гагарину,"Памятники, скульптуры, мемориалы",Ростовская область,Таганрог,"(Decimal('38.914713'), Decimal('47.22064'))"
Памятник Сергию Радонежскому,"Памятники, скульптуры, мемориалы",Нижегородская область,Нижний Новгород,"(Decimal('43.765543'), Decimal('56.235496'))"
Памятник Сергию Радонежскому,"Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
Памятник Серебджабу Тюмень,"Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
Памятник Сибирская монета,"Памятники, скульптуры, мемориалы",Новосибирская область,Сузуки,"(Decimal('82.362216'), Decimal('53.825637'))"
Памятник деревенщине в Пскове,"Памятники, скульптуры, мемориалы",Псковская область,Псков,"(Decimal('28.431562'), Decimal('57.796334'))"
памятник Славы,"Памятники, скульптуры, мемориалы",Воронежская область,Воронеж,"(Decimal('39.185384'), Decimal('51.694144'))"
Памятник славянской азбуки,"Памятники, скульптуры, мемориалы",Воронежская область,Россошь,"(Decimal('39.57652'), Decimal('50.192899'))"
памятник Солженицыну,"Памятники, скульптуры, мемориалы",Приморский край,Владивосток,"(Decimal('131.885485'), Decimal('43.115536'))"
Полка памятника Софии,"Памятники, скульптуры, мемориалы",Смоленская область,Смоленск,"(Decimal('32.045251'), Decimal('54.782635'))"
Памятник Степану Халтурину,"Памятники, скульптуры, мемориалы",Кировская область,Киров,"(Decimal('49.721706'), Decimal('58.605133'))"
памятник студенту,"Памятники, скульптуры, мемориалы",Республика Бурятия,,"(Decimal('112.348699'), Decimal('54.544222'))"
Памятник Сулейману Стальскому,"Памятники, скульптуры, мемориалы",Республика Дагестан,Махачкала,"(Decimal('47.504682'), Decimal('42.98306'))"
Памятник Тамаре Хахлыновой,"Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.279137'), Decimal('46.298528'))"
Памятник тамбовскому крестьянину,"Памятники, скульптуры, мемориалы",Тамбовская область,Тамбов,"(Decimal('41.832692'), Decimal('52.435401'))"
Памятник Татаркану Кокойты,"Памятники, скульптуры, мемориалы",Республика Северная Осетия - Алания,Владикавказ,"(Decimal('44.68196'), Decimal('43.02115'))"
Памятник Тимирязеву на Тверском бульваре.,"Памятники, скульптуры, мемориалы",Москва,,Not found
Памятник Торкелю Кнутссону,"Памятники, скульптуры, мемориалы",Ленинградская область,Выборг,"(Decimal('28.749404'), Decimal('60.710232'))"
Памятник Тотлебену,военная слава,Севастополь,,"(Decimal('33.489912'), Decimal('44.499691'))"
памятник Трезини,"Памятники, скульптуры, мемориалы",Санкт-Петербург,Санкт-Петербург,"(Decimal('30.288101'), Decimal('59.936562'))"
Памятник Трокаю Борисову,"Памятники, скульптуры, мемориалы",Удмуртская республика,Ижевск,"(Decimal('53.206891'), Decimal('56.852676'))"
Памятник Тысячелетия России,"Памятники, скульптуры, мемориалы",Новгородская область,Новгород,"(Decimal('31.269915'), Decimal('58.52281'))"
Памятник УБУС Хану,"Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
Памятник Уральскому добровольческому танковому комплексу,военная слава,Пермь,Пермский,Not found
Памятник Уральскому добровольческому танковому корпусу,"Памятники, скульптуры, мемориалы",Свердловская область,Екатеринбург,Not found
Памятник Федору Достоевскому,"Памятники, скульптуры, мемориалы",Омская область,Омск,"(Decimal('73.368212'), Decimal('54.989342'))"
Памятник Ф. Х. Граалю,"Памятники, скульптуры, мемориалы",Пермь,Пермский,"(Decimal('56.229434'), Decimal('58.01045'))"
Памятник Ф. Дзержинскому,"Памятники, скульптуры, мемориалы",Свердловская область,Нижний Тагил,Not found
Памятник Ф. Дзержинскому,"Памятники, скульптуры, мемориалы",Москва,,"(Decimal('37.659569'), Decimal('55.767261'))"
Памятник Ф.А. Щербине,"Памятники, скульптуры, мемориалы",Краснодарский край,Краснодар,"(Decimal('38.917021'), Decimal('45.034381'))"
Памятник Ф.Г. Логинову,"Памятники, скульптуры, мемориалы",Волгоградская область,Волжский,"(Decimal('44.751867'), Decimal('48.786293'))"
Памятник Ф.М. Достоевскому,"Памятники, скульптуры, мемориалы",Москва,,Not found
Памятник Ф.М. Достоевскому,"Памятники, скульптуры, мемориалы",Москва,,Not found
Памятник Ф.М. Достоевскому «Несущий крест».,"Памятники, скульптуры, мемориалы",Омская область,Омск,"(Decimal('73.368212'), Decimal('54.989342'))"
Памятник Ф.М. Достоевскому в Старой Руссе,"Памятники, скульптуры, мемориалы",Новгородская область,Старая Русса,"(Decimal('31.355452'), Decimal('57.990715'))"
памятник Ф.М.Харитову,"Памятники, скульптуры, мемориалы",Ярославская область,Рыбинск,"(Decimal('38.858406'), Decimal('58.048454'))"
памятник Ушакову,"Памятники, скульптуры, мемориалы",Ярославская область,Рыбинск,Not found
Памятник Ф.Э. Дзержинскому,"Памятники, скульптуры, мемориалы",Ханты-Мансийский автономный округ,Нижневартовск,Not found
Памятник Ф.Э. Дзержинскому,"Памятники, скульптуры, мемориалы",Волгоградская область,Волгоград,Not found
Памятник Раневской,"Памятники, скульптуры, мемориалы",Ростовская область,Таганрог,"(Decimal('38.830675'), Decimal('47.217708'))"
Памятник Федору Ивановичу Шаляпину,"Памятники, скульптуры, мемориалы",Кировская область,Киров,"(Decimal('49.721706'), Decimal('58.605133'))"
Памятник Федору Солнцеву и «26 бакинским комиссарам»,"Памятники, скульптуры, мемориалы",Смоленская область,Гагарин,Not found
Памятник Францу де Волану Павловичу,"Памятники, скульптуры, мемориалы",Ростовская область,Новочеркасск,Not found
Памятник Фридриху Энгельсу,"Памятники, скульптуры, мемориалы",Москва,,"(Decimal('37.4114'), Decimal('55.844394'))"
Памятник Фёдору Волкову,"Памятники, скульптуры, мемориалы",Ярославская область,Ярославль,"(Decimal('39.87662'), Decimal('57.658939'))"
Памятник Хонгору,"Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
Памятник Человеку-невидимке,"Памятники, скульптуры, мемориалы",Свердловская область,Екатеринбург,"(Decimal('60.597465'), Decimal('56.838011'))"
Памятник Человеку-невидимке,"Памятники, скульптуры, мемориалы",Санкт-Петербург,Санкт-Петербург,"(Decimal('30.315868'), Decimal('59.939095'))"
«Памятник» обновил Валиханову,"Памятники, скульптуры, мемориалы",Омская область,Омск,"(Decimal('73.368212'), Decimal('54.989342'))"
Памятник Шерлоку Холмсу и доктору Ватсону,"Памятники, скульптуры, мемориалы",Москва,,"(Decimal('37.617635'), Decimal('55.755814'))"
Памятник Эдит Сёдергран,"Памятники, скульптуры, мемориалы",Ленинградская область,Рощино,"(Decimal('29.706298'), Decimal('61.162446'))"
Памятник Элеоноре Прей,"Памятники, скульптуры, мемориалы",Приморский край,Владивосток,"(Decimal('131.885485'), Decimal('43.115536'))"
Памятник Юрию Гагарину,"Памятники, скульптуры, мемориалы",Москва,,"(Decimal('37.62342'), Decimal('55.766552'))"
